features,category,location,ranking
EmisNO_Fert,emission,E,4.0
EmisNO_Fert,emission,S,3.0
EmisNO_Fert,emission,W,3.0
EmisNO_Fert,emission,N,2.0
EmisNO_Lightning,emission,E,8.0
EmisNO_Lightning,emission,S,12.0
EmisNO_Lightning,emission,W,6.0
EmisNO_Lightning,emission,N,7.0
EmisNO_Ship,emission,E,1.0
EmisNO_Ship,emission,S,1.0
EmisNO_Ship,emission,W,2.0
EmisNO_Ship,emission,N,1.0
EmisNO_Soil,emission,E,5.0
EmisNO_Soil,emission,S,5.0
EmisNO_Soil,emission,W,4.0
EmisNO_Soil,emission,N,3.0
T2M,met,E,10.0
T2M,met,S,7.0
T2M,met,W,11.0
T2M,met,N,12.0
PBLH,met,E,6.0
PBLH,met,S,11.0
PBLH,met,W,12.0
PBLH,met,N,13.0
U10M,met,E,2.0
U10M,met,S,14.0
U10M,met,W,9.0
U10M,met,N,9.0
V10M,met,E,3.0
V10M,met,S,4.0
V10M,met,W,7.0
V10M,met,N,5.0
PRECTOT,met,E,7.0
PRECTOT,met,S,2.0
PRECTOT,met,W,5.0
PRECTOT,met,N,4.0
RH,met,E,11.0
RH,met,S,8.0
RH,met,W,8.0
RH,met,N,6.0
CO_trop,gas,E,9.0
CO_trop,gas,S,13.0
CO_trop,gas,W,16.0
CO_trop,gas,N,15.0
SO2_trop,gas,E,14.0
SO2_trop,gas,S,15.0
SO2_trop,gas,W,10.0
SO2_trop,gas,N,14.0
NO2_trop,gas,E,13.0
NO2_trop,gas,S,10.0
NO2_trop,gas,W,13.0
NO2_trop,gas,N,8.0
CH2O_trop,gas,E,12.0
CH2O_trop,gas,S,9.0
CH2O_trop,gas,W,14.0
CH2O_trop,gas,N,10.0
NH3_trop,gas,E,15.0
NH3_trop,gas,S,6.0
NH3_trop,gas,W,15.0
NH3_trop,gas,N,11.0
EmisDST_Natural,emission,W,1.0
EmisDST_Natural,emission,C,1.0
EmisNO_Fert,emission,C,5.0
EmisNO_Lightning,emission,C,7.0
EmisNO_Ship,emission,C,2.0
EmisNO_Soil,emission,C,4.0
T2M,met,C,12.0
PBLH,met,C,10.0
U10M,met,C,9.0
V10M,met,C,3.0
PRECTOT,met,C,6.0
RH,met,C,8.0
CO_trop,gas,C,15.0
SO2_trop,gas,C,16.0
NO2_trop,gas,C,11.0
CH2O_trop,gas,C,13.0
NH3_trop,gas,C,14.0
EmisDST_Natural,emission,A,1.0
EmisNO_Fert,emission,A,6.0
EmisNO_Lightning,emission,A,7.0
EmisNO_Ship,emission,A,2.0
EmisNO_Soil,emission,A,5.0
T2M,met,A,13.0
PBLH,met,A,10.0
U10M,met,A,9.0
V10M,met,A,3.0
PRECTOT,met,A,4.0
RH,met,A,8.0
CO_trop,gas,A,15.0
SO2_trop,gas,A,16.0
NO2_trop,gas,A,12.0
CH2O_trop,gas,A,14.0
NH3_trop,gas,A,11.0
